angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.02,,"[571, 193, 339, 403]",,0.0,,0.01,,0.42,,0.54,,0.01,,0.0,
0.01,,"[572, 196, 337, 401]",,0.0,,0.01,,0.45,,0.5,,0.02,,0.0,
0.02,,"[569, 188, 338, 414]",,0.0,,0.01,,0.57,,0.38,,0.02,,0.01,
0.01,,"[574, 203, 340, 405]",,0.0,,0.03,,0.62,,0.28,,0.03,,0.03,
0.02,,"[562, 196, 340, 405]",,0.0,,0.02,,0.55,,0.35,,0.05,,0.01,
0.01,,"[565, 183, 335, 407]",,0.0,,0.03,,0.52,,0.37,,0.05,,0.01,
0.02,,"[553, 189, 338, 407]",,0.0,,0.04,,0.48,,0.41,,0.05,,0.01,
0.04,,"[558, 203, 344, 407]",,0.0,,0.04,,0.3,,0.53,,0.09,,0.01,
0.08,,"[560, 200, 342, 409]",,0.0,,0.08,,0.12,,0.58,,0.12,,0.02,
0.03,,"[554, 200, 348, 411]",,0.0,,0.06,,0.48,,0.34,,0.07,,0.02,
0.16,,"[558, 190, 323, 375]",,0.0,,0.14,,0.13,,0.27,,0.28,,0.01,
0.07,,"[559, 143, 350, 435]",,0.0,,0.13,,0.42,,0.25,,0.11,,0.03,
0.08,,"[556, 147, 349, 429]",,0.0,,0.17,,0.21,,0.36,,0.18,,0.01,
0.21,,"[561, 160, 343, 402]",,0.0,,0.07,,0.03,,0.28,,0.42,,0.0,
0.07,,"[559, 139, 349, 412]",,0.0,,0.12,,0.01,,0.57,,0.21,,0.0,
0.08,,"[566, 146, 345, 416]",,0.0,,0.1,,0.07,,0.34,,0.4,,0.01,
0.17,,"[561, 141, 344, 419]",,0.0,,0.12,,0.09,,0.31,,0.31,,0.01,
0.03,,"[561, 131, 356, 447]",,0.0,,0.06,,0.61,,0.16,,0.14,,0.01,
0.05,,"[557, 130, 354, 446]",,0.0,,0.09,,0.2,,0.45,,0.21,,0.01,
0.07,,"[560, 158, 334, 412]",,0.0,,0.09,,0.06,,0.35,,0.41,,0.01,
0.09,,"[562, 156, 335, 411]",,0.0,,0.12,,0.1,,0.36,,0.32,,0.01,
0.02,,"[561, 132, 349, 441]",,0.0,,0.04,,0.79,,0.1,,0.04,,0.01,
0.02,,"[560, 135, 347, 438]",,0.0,,0.07,,0.7,,0.15,,0.05,,0.01,
0.1,,"[559, 125, 350, 439]",,0.0,,0.15,,0.05,,0.49,,0.2,,0.01,
0.1,,"[554, 129, 354, 443]",,0.0,,0.12,,0.03,,0.43,,0.31,,0.02,
0.07,,"[554, 130, 356, 437]",,0.0,,0.06,,0.04,,0.55,,0.26,,0.02,
0.06,,"[561, 144, 343, 413]",,0.0,,0.03,,0.01,,0.61,,0.29,,0.01,
0.06,,"[558, 133, 347, 429]",,0.0,,0.06,,0.04,,0.48,,0.36,,0.01,
0.01,,"[556, 125, 353, 439]",,0.0,,0.01,,0.81,,0.12,,0.04,,0.01,
0.02,,"[559, 130, 345, 425]",,0.0,,0.07,,0.63,,0.19,,0.07,,0.03,
0.03,,"[560, 126, 347, 428]",,0.0,,0.09,,0.4,,0.3,,0.12,,0.06,
0.05,,"[560, 130, 340, 420]",,0.0,,0.08,,0.07,,0.64,,0.14,,0.02,
0.04,,"[562, 138, 337, 409]",,0.0,,0.04,,0.09,,0.68,,0.14,,0.01,
0.06,,"[559, 138, 336, 412]",,0.0,,0.06,,0.17,,0.51,,0.18,,0.03,
0.04,,"[560, 142, 333, 404]",,0.0,,0.04,,0.1,,0.68,,0.13,,0.01,
0.03,,"[556, 130, 341, 417]",,0.0,,0.03,,0.42,,0.45,,0.05,,0.01,
0.05,,"[561, 144, 323, 390]",,0.0,,0.06,,0.56,,0.26,,0.07,,0.01,
0.02,,"[555, 136, 334, 407]",,0.0,,0.03,,0.61,,0.29,,0.04,,0.01,
0.03,,"[558, 141, 333, 407]",,0.0,,0.04,,0.47,,0.33,,0.08,,0.04,
0.09,,"[556, 143, 331, 408]",,0.0,,0.11,,0.28,,0.1,,0.09,,0.32,
0.1,,"[551, 152, 337, 417]",,0.0,,0.13,,0.05,,0.28,,0.34,,0.09,
0.09,,"[551, 153, 339, 412]",,0.0,,0.08,,0.04,,0.45,,0.32,,0.03,
0.08,,"[555, 143, 344, 432]",,0.0,,0.17,,0.15,,0.14,,0.39,,0.07,
0.05,,"[557, 142, 346, 441]",,0.0,,0.09,,0.75,,0.01,,0.05,,0.06,
0.0,,"[551, 133, 342, 418]",,0.0,,0.0,,0.97,,0.02,,0.0,,0.0,
0.01,,"[549, 139, 341, 415]",,0.0,,0.0,,0.89,,0.09,,0.01,,0.0,
0.01,,"[557, 148, 331, 401]",,0.0,,0.01,,0.81,,0.16,,0.01,,0.0,
0.02,,"[557, 132, 346, 432]",,0.0,,0.03,,0.56,,0.3,,0.08,,0.01,
0.03,,"[557, 134, 346, 431]",,0.0,,0.03,,0.73,,0.16,,0.05,,0.01,
0.0,,"[556, 133, 351, 441]",,0.0,,0.0,,0.85,,0.13,,0.01,,0.0,
0.01,,"[563, 141, 330, 412]",,0.0,,0.0,,0.91,,0.07,,0.01,,0.0,
0.0,,"[564, 132, 332, 416]",,0.0,,0.0,,0.98,,0.01,,0.0,,0.0,
0.0,,"[560, 132, 334, 414]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[554, 130, 340, 416]",,0.0,,0.0,,0.97,,0.02,,0.0,,0.0,
0.01,,"[559, 134, 334, 411]",,0.0,,0.0,,0.49,,0.46,,0.03,,0.0,
0.07,,"[558, 142, 328, 398]",,0.0,,0.04,,0.2,,0.56,,0.1,,0.02,
0.06,,"[552, 139, 342, 428]",,0.0,,0.06,,0.19,,0.31,,0.32,,0.07,
0.08,,"[557, 144, 335, 415]",,0.0,,0.06,,0.16,,0.27,,0.4,,0.04,
0.05,,"[565, 147, 330, 408]",,0.0,,0.06,,0.32,,0.27,,0.28,,0.02,
0.03,,"[575, 152, 326, 403]",,0.0,,0.04,,0.46,,0.32,,0.12,,0.04,
0.07,,"[580, 151, 328, 404]",,0.0,,0.05,,0.5,,0.23,,0.13,,0.02,
0.05,,"[576, 140, 341, 427]",,0.0,,0.06,,0.71,,0.04,,0.03,,0.11,
0.1,,"[595, 157, 319, 391]",,0.0,,0.15,,0.31,,0.19,,0.19,,0.05,
0.03,,"[593, 119, 340, 432]",,0.0,,0.02,,0.63,,0.25,,0.06,,0.01,
0.01,,"[590, 112, 346, 450]",,0.0,,0.01,,0.97,,0.01,,0.0,,0.01,
0.0,,"[584, 109, 346, 449]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[581, 107, 352, 460]",,0.0,,0.01,,0.97,,0.0,,0.0,,0.01,
0.02,,"[580, 116, 346, 447]",,0.0,,0.03,,0.89,,0.03,,0.02,,0.02,
0.06,,"[579, 113, 345, 436]",,0.0,,0.16,,0.19,,0.4,,0.16,,0.02,
0.08,,"[585, 130, 333, 411]",,0.0,,0.06,,0.09,,0.54,,0.23,,0.01,
0.21,,"[580, 123, 333, 419]",,0.0,,0.15,,0.08,,0.31,,0.23,,0.02,
0.04,,"[575, 112, 343, 445]",,0.0,,0.05,,0.76,,0.11,,0.02,,0.01,
0.07,,"[572, 115, 346, 444]",,0.0,,0.06,,0.74,,0.07,,0.02,,0.04,
0.18,,"[578, 130, 335, 419]",,0.0,,0.12,,0.13,,0.42,,0.13,,0.01,
0.13,,"[577, 134, 334, 415]",,0.0,,0.14,,0.11,,0.38,,0.22,,0.01,
0.11,,"[572, 137, 336, 417]",,0.0,,0.11,,0.33,,0.35,,0.09,,0.01,
0.06,,"[566, 139, 335, 411]",,0.01,,0.05,,0.69,,0.14,,0.04,,0.01,
0.16,,"[539, 135, 356, 420]",,0.0,,0.07,,0.43,,0.13,,0.22,,0.0,
0.23,,"[539, 130, 355, 433]",,0.0,,0.13,,0.24,,0.28,,0.11,,0.01,
0.06,,"[546, 135, 353, 433]",,0.0,,0.1,,0.64,,0.14,,0.05,,0.0,
0.05,,"[541, 134, 359, 439]",,0.0,,0.06,,0.66,,0.17,,0.05,,0.01,
0.05,,"[543, 128, 365, 445]",,0.0,,0.07,,0.82,,0.02,,0.03,,0.01,
0.03,,"[558, 138, 352, 423]",,0.0,,0.07,,0.83,,0.04,,0.03,,0.0,
0.02,,"[570, 136, 342, 426]",,0.0,,0.04,,0.78,,0.12,,0.04,,0.0,
0.08,,"[584, 142, 338, 414]",,0.0,,0.09,,0.68,,0.12,,0.03,,0.01,
0.14,,"[584, 150, 331, 409]",,0.0,,0.1,,0.47,,0.24,,0.04,,0.01,
0.17,,"[587, 141, 332, 404]",,0.0,,0.04,,0.02,,0.54,,0.2,,0.02,
0.05,,"[588, 152, 322, 393]",,0.0,,0.04,,0.03,,0.8,,0.08,,0.01,
0.09,,"[584, 149, 323, 400]",,0.0,,0.11,,0.35,,0.24,,0.11,,0.1,
0.27,,"[595, 127, 335, 410]",,0.0,,0.12,,0.03,,0.41,,0.14,,0.04,
0.27,,"[601, 148, 330, 400]",,0.0,,0.28,,0.01,,0.18,,0.2,,0.06,
0.06,,"[607, 148, 330, 405]",,0.0,,0.1,,0.13,,0.57,,0.11,,0.03,
0.2,,"[602, 128, 340, 429]",,0.0,,0.15,,0.18,,0.36,,0.09,,0.02,
0.12,,"[596, 130, 333, 413]",,0.0,,0.15,,0.18,,0.42,,0.1,,0.03,
0.17,,"[593, 145, 323, 401]",,0.0,,0.08,,0.09,,0.55,,0.09,,0.0,
0.09,,"[582, 133, 335, 409]",,0.0,,0.03,,0.49,,0.36,,0.02,,0.0,
0.14,,"[577, 139, 333, 420]",,0.0,,0.06,,0.45,,0.3,,0.05,,0.01,
0.29,,"[575, 147, 326, 399]",,0.0,,0.07,,0.39,,0.2,,0.04,,0.01,
0.06,,"[573, 139, 328, 402]",,0.0,,0.05,,0.58,,0.29,,0.02,,0.0,
0.1,,"[571, 138, 332, 404]",,0.0,,0.07,,0.29,,0.48,,0.05,,0.01,
0.12,,"[564, 141, 331, 399]",,0.0,,0.06,,0.07,,0.57,,0.17,,0.01,
0.19,,"[565, 158, 324, 383]",,0.0,,0.21,,0.12,,0.15,,0.23,,0.11,
0.21,,"[564, 159, 321, 380]",,0.0,,0.16,,0.2,,0.34,,0.09,,0.01,
0.35,,"[561, 158, 322, 381]",,0.0,,0.09,,0.33,,0.16,,0.06,,0.01,
0.05,,"[561, 157, 324, 387]",,0.0,,0.09,,0.19,,0.59,,0.08,,0.0,
0.14,,"[558, 154, 326, 390]",,0.0,,0.09,,0.45,,0.24,,0.07,,0.0,
0.06,,"[559, 151, 332, 399]",,0.0,,0.08,,0.59,,0.19,,0.07,,0.01,
0.19,,"[560, 160, 323, 393]",,0.0,,0.17,,0.37,,0.08,,0.13,,0.06,
0.07,,"[549, 129, 342, 412]",,0.0,,0.03,,0.07,,0.75,,0.07,,0.01,
0.12,,"[551, 133, 335, 400]",,0.0,,0.06,,0.07,,0.58,,0.16,,0.01,
0.12,,"[552, 129, 339, 410]",,0.0,,0.09,,0.23,,0.36,,0.09,,0.11,
0.1,,"[559, 137, 336, 406]",,0.0,,0.06,,0.03,,0.63,,0.14,,0.04,
0.07,,"[564, 140, 330, 401]",,0.0,,0.08,,0.05,,0.66,,0.11,,0.02,
0.18,,"[565, 143, 328, 395]",,0.0,,0.11,,0.02,,0.53,,0.12,,0.04,
0.09,,"[565, 140, 331, 400]",,0.0,,0.05,,0.08,,0.6,,0.17,,0.02,
0.12,,"[569, 134, 331, 398]",,0.0,,0.06,,0.05,,0.66,,0.1,,0.02,
0.09,,"[568, 145, 328, 393]",,0.0,,0.05,,0.03,,0.65,,0.17,,0.0,
0.16,,"[571, 154, 325, 381]",,0.0,,0.09,,0.38,,0.24,,0.13,,0.0,
0.08,,"[554, 137, 362, 430]",,0.0,,0.03,,0.78,,0.08,,0.02,,0.01,
0.26,,"[567, 149, 322, 387]",,0.0,,0.07,,0.52,,0.09,,0.04,,0.01,
0.08,,"[559, 135, 334, 410]",,0.0,,0.01,,0.88,,0.02,,0.01,,0.0,
0.02,,"[513, 131, 364, 459]",,0.0,,0.02,,0.92,,0.01,,0.01,,0.03,
0.03,,"[515, 135, 360, 452]",,0.0,,0.02,,0.85,,0.01,,0.01,,0.06,
0.01,,"[519, 133, 359, 453]",,0.0,,0.02,,0.86,,0.0,,0.01,,0.1,
0.04,,"[523, 126, 363, 458]",,0.0,,0.01,,0.9,,0.01,,0.02,,0.02,
0.14,,"[560, 142, 362, 438]",,0.0,,0.17,,0.5,,0.02,,0.1,,0.07,
0.37,,"[582, 142, 346, 440]",,0.0,,0.16,,0.24,,0.02,,0.18,,0.03,
0.36,,"[602, 149, 348, 452]",,0.0,,0.3,,0.04,,0.03,,0.21,,0.07,
0.21,,"[607, 160, 344, 453]",,0.0,,0.43,,0.07,,0.02,,0.21,,0.06,
0.19,,"[608, 168, 343, 449]",,0.0,,0.39,,0.05,,0.04,,0.26,,0.07,
0.1,,"[620, 181, 346, 446]",,0.0,,0.29,,0.23,,0.03,,0.08,,0.27,
0.08,,"[628, 203, 328, 424]",,0.0,,0.35,,0.23,,0.07,,0.18,,0.1,
0.04,,"[624, 209, 330, 419]",,0.0,,0.14,,0.2,,0.1,,0.06,,0.45,
0.07,,"[624, 221, 310, 380]",,0.0,,0.06,,0.03,,0.52,,0.28,,0.05,
0.17,,"[594, 157, 356, 449]",,0.0,,0.11,,0.07,,0.18,,0.45,,0.02,
0.16,0.28,"[589, 173, 335, 407]","[677, 620, 62, 78]",0.0,0.01,0.13,0.18,0.13,0.24,0.11,0.05,0.44,0.22,0.04,0.02
0.15,,"[584, 169, 323, 407]",,0.0,,0.21,,0.13,,0.09,,0.33,,0.07,
0.13,,"[582, 160, 330, 416]",,0.0,,0.25,,0.15,,0.1,,0.3,,0.06,
0.09,,"[576, 158, 361, 446]",,0.0,,0.05,,0.06,,0.39,,0.39,,0.02,
0.15,,"[578, 176, 334, 417]",,0.0,,0.17,,0.4,,0.04,,0.1,,0.14,
0.11,,"[575, 145, 339, 439]",,0.0,,0.18,,0.23,,0.13,,0.29,,0.05,
0.19,,"[573, 158, 336, 409]",,0.0,,0.18,,0.07,,0.1,,0.37,,0.09,
0.18,,"[576, 176, 329, 413]",,0.0,,0.18,,0.15,,0.14,,0.27,,0.08,
0.09,,"[574, 181, 334, 418]",,0.0,,0.1,,0.3,,0.29,,0.17,,0.05,
0.1,,"[571, 174, 344, 442]",,0.0,,0.13,,0.4,,0.12,,0.07,,0.18,
0.05,,"[575, 183, 344, 429]",,0.0,,0.13,,0.35,,0.12,,0.14,,0.21,
0.24,,"[572, 168, 344, 436]",,0.0,,0.14,,0.31,,0.14,,0.12,,0.05,
0.13,,"[578, 172, 337, 424]",,0.0,,0.08,,0.24,,0.41,,0.13,,0.01,
0.07,,"[577, 174, 330, 413]",,0.0,,0.06,,0.2,,0.54,,0.13,,0.01,
0.11,,"[572, 188, 321, 396]",,0.0,,0.11,,0.46,,0.19,,0.12,,0.02,
0.12,,"[570, 166, 340, 432]",,0.0,,0.11,,0.58,,0.08,,0.06,,0.06,
0.16,,"[573, 168, 343, 421]",,0.0,,0.05,,0.04,,0.44,,0.28,,0.01,
0.14,,"[574, 165, 341, 426]",,0.0,,0.06,,0.04,,0.38,,0.36,,0.02,
0.23,,"[575, 173, 325, 408]",,0.0,,0.15,,0.05,,0.28,,0.2,,0.09,
0.32,,"[572, 172, 330, 416]",,0.0,,0.1,,0.28,,0.18,,0.07,,0.04,
0.29,,"[573, 178, 325, 410]",,0.0,,0.18,,0.07,,0.16,,0.24,,0.05,
0.1,,"[574, 174, 318, 392]",,0.0,,0.08,,0.06,,0.45,,0.3,,0.0,
0.15,,"[570, 171, 325, 397]",,0.0,,0.2,,0.17,,0.13,,0.34,,0.01,
0.09,,"[566, 151, 328, 411]",,0.0,,0.17,,0.17,,0.34,,0.21,,0.03,
0.25,,"[562, 146, 328, 406]",,0.0,,0.13,,0.03,,0.42,,0.15,,0.02,
0.05,,"[553, 140, 336, 414]",,0.0,,0.12,,0.4,,0.3,,0.08,,0.06,
0.05,,"[553, 146, 327, 393]",,0.0,,0.04,,0.02,,0.84,,0.04,,0.01,
0.11,,"[544, 142, 332, 398]",,0.0,,0.05,,0.01,,0.74,,0.07,,0.01,
0.07,,"[541, 166, 325, 404]",,0.0,,0.18,,0.24,,0.16,,0.29,,0.07,
0.19,,"[529, 168, 336, 402]",,0.0,,0.17,,0.14,,0.2,,0.25,,0.04,
0.11,,"[530, 152, 340, 430]",,0.0,,0.14,,0.48,,0.1,,0.06,,0.12,
0.1,,"[533, 159, 341, 433]",,0.0,,0.12,,0.37,,0.13,,0.15,,0.11,
0.13,,"[535, 166, 337, 416]",,0.0,,0.13,,0.25,,0.36,,0.09,,0.04,
0.11,,"[538, 165, 334, 410]",,0.0,,0.06,,0.31,,0.42,,0.07,,0.04,
0.05,,"[538, 160, 337, 421]",,0.0,,0.06,,0.6,,0.18,,0.07,,0.04,
0.15,,"[540, 160, 335, 414]",,0.0,,0.15,,0.46,,0.1,,0.1,,0.05,
0.1,,"[542, 142, 347, 443]",,0.0,,0.34,,0.2,,0.05,,0.15,,0.16,
0.15,,"[547, 142, 341, 430]",,0.0,,0.19,,0.16,,0.13,,0.22,,0.14,
0.15,,"[557, 143, 331, 409]",,0.0,,0.14,,0.05,,0.42,,0.17,,0.07,
0.1,,"[553, 146, 335, 418]",,0.0,,0.13,,0.18,,0.35,,0.18,,0.07,
0.22,,"[549, 143, 335, 415]",,0.0,,0.19,,0.16,,0.17,,0.1,,0.15,
0.11,,"[556, 153, 323, 396]",,0.0,,0.25,,0.04,,0.29,,0.25,,0.06,
0.08,,"[550, 146, 327, 402]",,0.0,,0.19,,0.02,,0.47,,0.19,,0.04,
0.05,,"[548, 139, 337, 415]",,0.0,,0.21,,0.06,,0.21,,0.17,,0.29,
0.11,,"[550, 146, 329, 410]",,0.0,,0.17,,0.07,,0.2,,0.2,,0.24,
0.09,,"[544, 145, 338, 414]",,0.0,,0.2,,0.05,,0.3,,0.25,,0.11,
0.05,,"[551, 150, 328, 407]",,0.0,,0.15,,0.23,,0.21,,0.17,,0.19,
0.1,,"[547, 155, 332, 397]",,0.0,,0.1,,0.02,,0.62,,0.15,,0.02,
0.07,,"[551, 161, 330, 393]",,0.0,,0.12,,0.04,,0.57,,0.17,,0.03,
0.12,,"[551, 163, 327, 388]",,0.0,,0.11,,0.04,,0.56,,0.14,,0.02,
0.11,,"[543, 155, 336, 405]",,0.0,,0.13,,0.06,,0.46,,0.19,,0.05,
0.12,,"[546, 147, 333, 413]",,0.0,,0.14,,0.1,,0.32,,0.21,,0.11,
0.13,,"[547, 154, 330, 407]",,0.0,,0.24,,0.06,,0.16,,0.31,,0.1,
0.15,,"[547, 145, 339, 419]",,0.0,,0.06,,0.12,,0.3,,0.34,,0.03,
0.08,,"[552, 160, 330, 405]",,0.0,,0.07,,0.08,,0.31,,0.41,,0.05,
0.06,,"[555, 161, 327, 401]",,0.0,,0.06,,0.11,,0.33,,0.39,,0.05,
0.12,,"[553, 150, 337, 424]",,0.0,,0.14,,0.06,,0.13,,0.4,,0.14,
0.14,,"[556, 158, 326, 411]",,0.0,,0.14,,0.18,,0.11,,0.25,,0.18,
0.05,,"[545, 144, 338, 425]",,0.0,,0.06,,0.54,,0.19,,0.14,,0.03,
0.07,,"[545, 146, 337, 425]",,0.0,,0.12,,0.46,,0.08,,0.13,,0.14,
