angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.06,,"[542, 145, 336, 416]",,0.0,,0.05,,0.2,,0.43,,0.24,,0.02,
0.01,,"[541, 151, 334, 411]",,0.0,,0.02,,0.67,,0.24,,0.05,,0.01,
0.08,,"[538, 139, 338, 415]",,0.0,,0.05,,0.39,,0.34,,0.14,,0.01,
0.08,,"[550, 147, 322, 395]",,0.0,,0.05,,0.51,,0.17,,0.18,,0.01,
0.06,,"[533, 127, 338, 411]",,0.0,,0.1,,0.26,,0.32,,0.2,,0.06,
0.1,,"[533, 127, 337, 411]",,0.0,,0.12,,0.29,,0.24,,0.2,,0.05,
0.06,,"[531, 127, 341, 415]",,0.0,,0.07,,0.37,,0.29,,0.13,,0.07,
0.12,,"[541, 136, 322, 380]",,0.0,,0.05,,0.04,,0.65,,0.12,,0.02,
0.26,,"[535, 133, 333, 409]",,0.0,,0.13,,0.11,,0.07,,0.14,,0.29,
0.24,,"[532, 134, 342, 421]",,0.0,,0.21,,0.13,,0.07,,0.15,,0.19,
0.12,,"[544, 139, 333, 411]",,0.0,,0.11,,0.07,,0.35,,0.28,,0.07,
0.15,,"[554, 146, 323, 399]",,0.0,,0.11,,0.04,,0.34,,0.28,,0.08,
0.06,,"[561, 151, 323, 397]",,0.0,,0.12,,0.07,,0.41,,0.28,,0.05,
0.08,,"[562, 149, 322, 398]",,0.0,,0.06,,0.04,,0.53,,0.26,,0.02,
0.17,,"[562, 141, 325, 405]",,0.0,,0.2,,0.05,,0.23,,0.29,,0.05,
0.08,,"[562, 148, 325, 392]",,0.0,,0.06,,0.03,,0.61,,0.22,,0.01,
0.08,,"[559, 144, 327, 393]",,0.0,,0.06,,0.05,,0.6,,0.2,,0.01,
0.13,,"[554, 142, 340, 430]",,0.0,,0.26,,0.13,,0.15,,0.31,,0.03,
0.1,,"[553, 138, 342, 427]",,0.0,,0.32,,0.13,,0.17,,0.21,,0.07,
0.05,,"[564, 167, 323, 401]",,0.0,,0.14,,0.35,,0.08,,0.15,,0.23,
0.08,,"[551, 146, 340, 417]",,0.0,,0.21,,0.26,,0.17,,0.2,,0.08,
0.05,,"[555, 140, 334, 413]",,0.0,,0.07,,0.25,,0.53,,0.1,,0.01,
0.05,,"[550, 136, 338, 415]",,0.0,,0.07,,0.52,,0.25,,0.09,,0.02,
0.14,,"[549, 134, 337, 414]",,0.0,,0.12,,0.08,,0.34,,0.31,,0.02,
0.07,,"[544, 132, 337, 407]",,0.0,,0.12,,0.22,,0.45,,0.13,,0.02,
0.14,,"[537, 134, 338, 412]",,0.0,,0.12,,0.24,,0.27,,0.2,,0.02,
0.13,,"[531, 136, 343, 423]",,0.0,,0.18,,0.18,,0.22,,0.24,,0.05,
0.15,,"[530, 146, 341, 422]",,0.0,,0.18,,0.2,,0.22,,0.23,,0.02,
0.2,,"[528, 149, 344, 428]",,0.0,,0.18,,0.19,,0.1,,0.21,,0.1,
0.12,,"[525, 149, 344, 425]",,0.0,,0.21,,0.27,,0.14,,0.18,,0.08,
0.15,,"[528, 155, 336, 410]",,0.0,,0.24,,0.11,,0.24,,0.19,,0.07,
0.07,,"[529, 147, 341, 418]",,0.0,,0.16,,0.31,,0.25,,0.15,,0.05,
0.21,,"[540, 160, 328, 403]",,0.0,,0.24,,0.12,,0.16,,0.25,,0.02,
0.14,,"[545, 175, 323, 386]",,0.0,,0.17,,0.09,,0.14,,0.44,,0.02,
0.31,,"[552, 174, 330, 400]",,0.0,,0.1,,0.24,,0.15,,0.18,,0.02,
0.19,,"[553, 168, 324, 403]",,0.0,,0.14,,0.3,,0.18,,0.15,,0.04,
0.08,,"[559, 175, 322, 396]",,0.0,,0.16,,0.09,,0.38,,0.26,,0.03,
0.08,,"[548, 156, 332, 406]",,0.0,,0.09,,0.13,,0.42,,0.23,,0.05,
0.21,,"[547, 175, 326, 385]",,0.0,,0.09,,0.01,,0.54,,0.13,,0.02,
0.18,,"[541, 174, 331, 394]",,0.0,,0.08,,0.01,,0.57,,0.14,,0.03,
0.18,,"[539, 164, 335, 409]",,0.0,,0.13,,0.16,,0.3,,0.18,,0.05,
0.3,,"[541, 190, 320, 385]",,0.0,,0.15,,0.21,,0.2,,0.1,,0.04,
0.14,,"[536, 161, 339, 416]",,0.0,,0.11,,0.42,,0.19,,0.09,,0.05,
0.2,,"[539, 174, 327, 402]",,0.0,,0.16,,0.42,,0.07,,0.09,,0.05,
0.19,,"[540, 158, 332, 405]",,0.0,,0.13,,0.16,,0.25,,0.21,,0.06,
0.08,,"[542, 174, 324, 381]",,0.0,,0.16,,0.15,,0.39,,0.2,,0.03,
0.16,,"[547, 155, 332, 396]",,0.0,,0.17,,0.02,,0.43,,0.19,,0.03,
0.08,,"[538, 148, 331, 396]",,0.0,,0.14,,0.21,,0.43,,0.12,,0.01,
0.08,,"[536, 151, 328, 390]",,0.0,,0.06,,0.14,,0.55,,0.15,,0.01,
0.17,,"[532, 145, 333, 399]",,0.0,,0.05,,0.24,,0.47,,0.05,,0.01,
0.15,,"[535, 146, 326, 393]",,0.0,,0.06,,0.44,,0.29,,0.05,,0.01,
0.18,,"[530, 141, 334, 409]",,0.0,,0.15,,0.2,,0.31,,0.11,,0.05,
0.08,,"[528, 147, 333, 395]",,0.0,,0.06,,0.1,,0.69,,0.06,,0.01,
0.11,,"[529, 140, 333, 396]",,0.0,,0.07,,0.01,,0.76,,0.05,,0.0,
0.11,,"[521, 137, 345, 406]",,0.0,,0.1,,0.01,,0.67,,0.1,,0.01,
0.13,,"[524, 139, 341, 415]",,0.0,,0.21,,0.12,,0.32,,0.18,,0.03,
0.05,,"[519, 140, 343, 423]",,0.0,,0.21,,0.2,,0.35,,0.15,,0.03,
0.14,,"[522, 137, 341, 425]",,0.0,,0.26,,0.07,,0.23,,0.19,,0.11,
0.1,,"[516, 136, 348, 432]",,0.0,,0.19,,0.32,,0.21,,0.14,,0.02,
0.13,,"[518, 140, 342, 420]",,0.0,,0.09,,0.2,,0.33,,0.22,,0.02,
0.11,,"[503, 135, 360, 437]",,0.0,,0.26,,0.26,,0.13,,0.16,,0.08,
0.1,,"[505, 132, 358, 441]",,0.0,,0.33,,0.23,,0.1,,0.11,,0.13,
0.11,,"[513, 147, 349, 430]",,0.0,,0.22,,0.12,,0.19,,0.25,,0.1,
0.26,,"[507, 144, 350, 431]",,0.0,,0.31,,0.07,,0.07,,0.16,,0.12,
0.26,,"[509, 144, 369, 453]",,0.0,,0.2,,0.19,,0.01,,0.05,,0.3,
0.09,,"[532, 152, 346, 422]",,0.0,,0.18,,0.4,,0.13,,0.19,,0.01,
0.12,,"[542, 151, 350, 438]",,0.0,,0.11,,0.13,,0.32,,0.27,,0.06,
0.06,,"[556, 179, 339, 407]",,0.0,,0.11,,0.08,,0.51,,0.21,,0.02,
0.1,,"[548, 160, 376, 444]",,0.0,,0.04,,0.08,,0.63,,0.15,,0.01,
0.07,,"[562, 168, 347, 415]",,0.0,,0.06,,0.05,,0.69,,0.12,,0.0,
0.41,,"[551, 188, 329, 409]",,0.0,,0.17,,0.14,,0.08,,0.16,,0.03,
0.2,,"[551, 183, 338, 426]",,0.0,,0.25,,0.16,,0.13,,0.17,,0.09,
0.15,,"[559, 187, 337, 424]",,0.0,,0.22,,0.14,,0.14,,0.23,,0.11,
0.22,,"[554, 170, 391, 460]",,0.0,,0.31,,0.1,,0.21,,0.12,,0.03,
0.08,,"[580, 165, 347, 434]",,0.0,,0.2,,0.2,,0.37,,0.08,,0.06,
0.13,,"[581, 186, 336, 420]",,0.0,,0.12,,0.39,,0.26,,0.08,,0.02,
0.17,,"[564, 154, 345, 428]",,0.0,,0.06,,0.05,,0.55,,0.15,,0.02,
0.07,0.16,"[565, 153, 346, 428]","[672, 623, 53, 69]",0.0,0.0,0.04,0.27,0.05,0.26,0.67,0.18,0.16,0.12,0.0,0.01
0.19,,"[567, 179, 325, 407]",,0.0,,0.14,,0.09,,0.37,,0.16,,0.04,
0.13,,"[560, 173, 334, 423]",,0.0,,0.14,,0.4,,0.2,,0.11,,0.02,
0.19,,"[558, 177, 331, 403]",,0.0,,0.13,,0.05,,0.46,,0.16,,0.02,
0.24,,"[553, 172, 333, 408]",,0.0,,0.13,,0.08,,0.4,,0.13,,0.02,
0.2,,"[552, 169, 336, 418]",,0.0,,0.14,,0.35,,0.18,,0.09,,0.04,
0.25,,"[550, 162, 331, 410]",,0.0,,0.11,,0.2,,0.35,,0.07,,0.03,
0.3,,"[558, 180, 329, 393]",,0.0,,0.16,,0.19,,0.24,,0.1,,0.02,
0.18,,"[551, 144, 341, 428]",,0.0,,0.12,,0.39,,0.22,,0.07,,0.02,
0.07,,"[553, 164, 337, 401]",,0.0,,0.04,,0.05,,0.66,,0.18,,0.0,
0.11,,"[550, 156, 341, 405]",,0.0,,0.05,,0.06,,0.61,,0.16,,0.01,
0.14,,"[546, 139, 345, 424]",,0.0,,0.09,,0.24,,0.43,,0.09,,0.01,
0.19,,"[546, 139, 348, 424]",,0.0,,0.12,,0.03,,0.45,,0.19,,0.01,
0.17,,"[553, 146, 340, 413]",,0.0,,0.1,,0.13,,0.42,,0.15,,0.03,
0.24,,"[557, 155, 333, 410]",,0.0,,0.07,,0.39,,0.23,,0.06,,0.01,
0.25,,"[557, 146, 337, 420]",,0.0,,0.11,,0.46,,0.1,,0.05,,0.03,
0.18,,"[558, 148, 338, 422]",,0.0,,0.17,,0.34,,0.18,,0.11,,0.03,
0.22,,"[567, 144, 336, 421]",,0.0,,0.15,,0.26,,0.21,,0.11,,0.05,
0.3,,"[571, 159, 332, 413]",,0.0,,0.23,,0.19,,0.14,,0.07,,0.06,
0.18,,"[578, 180, 325, 394]",,0.0,,0.12,,0.04,,0.53,,0.13,,0.0,
0.09,,"[581, 170, 333, 396]",,0.0,,0.06,,0.04,,0.69,,0.12,,0.0,
0.39,,"[584, 181, 323, 389]",,0.0,,0.17,,0.07,,0.18,,0.16,,0.02,
0.18,,"[584, 173, 327, 400]",,0.0,,0.16,,0.22,,0.32,,0.11,,0.01,
0.08,,"[583, 156, 333, 405]",,0.0,,0.06,,0.02,,0.68,,0.15,,0.01,
0.15,,"[596, 177, 319, 389]",,0.0,,0.23,,0.04,,0.25,,0.32,,0.02,
0.2,,"[582, 162, 332, 406]",,0.0,,0.18,,0.23,,0.24,,0.11,,0.03,
0.22,,"[584, 173, 324, 396]",,0.01,,0.24,,0.26,,0.15,,0.09,,0.04,
0.18,,"[595, 181, 318, 393]",,0.0,,0.23,,0.17,,0.12,,0.26,,0.03,
0.4,,"[582, 172, 325, 400]",,0.01,,0.21,,0.07,,0.16,,0.13,,0.03,
0.37,,"[583, 161, 327, 404]",,0.0,,0.25,,0.07,,0.17,,0.1,,0.03,
0.19,,"[580, 157, 328, 407]",,0.0,,0.14,,0.1,,0.37,,0.16,,0.03,
0.26,,"[577, 158, 328, 405]",,0.0,,0.14,,0.08,,0.23,,0.17,,0.11,
0.19,,"[574, 155, 330, 416]",,0.0,,0.22,,0.19,,0.13,,0.16,,0.11,
0.27,,"[573, 159, 329, 410]",,0.0,,0.17,,0.12,,0.16,,0.21,,0.07,
0.45,0.09,"[572, 156, 333, 413]","[489, 631, 38, 43]",0.0,0.0,0.15,0.09,0.14,0.13,0.12,0.4,0.12,0.29,0.03,0.01
0.29,,"[570, 173, 331, 404]",,0.0,,0.18,,0.27,,0.07,,0.13,,0.05,
0.14,,"[573, 160, 330, 403]",,0.0,,0.12,,0.52,,0.14,,0.06,,0.02,
0.05,,"[575, 173, 324, 396]",,0.0,,0.05,,0.5,,0.34,,0.05,,0.0,
0.1,,"[576, 174, 324, 398]",,0.0,,0.07,,0.66,,0.13,,0.03,,0.01,
0.12,,"[573, 169, 326, 394]",,0.0,,0.12,,0.47,,0.21,,0.08,,0.01,
0.08,,"[571, 162, 330, 398]",,0.0,,0.12,,0.17,,0.5,,0.11,,0.02,
0.16,,"[566, 160, 333, 401]",,0.0,,0.1,,0.05,,0.5,,0.17,,0.03,
0.21,,"[571, 167, 327, 400]",,0.0,,0.2,,0.19,,0.26,,0.11,,0.02,
0.23,,"[573, 165, 334, 401]",,0.0,,0.15,,0.09,,0.35,,0.15,,0.02,
0.18,,"[568, 161, 334, 401]",,0.0,,0.05,,0.01,,0.64,,0.11,,0.01,
0.2,,"[567, 158, 339, 408]",,0.0,,0.1,,0.03,,0.51,,0.15,,0.02,
0.31,,"[566, 163, 330, 401]",,0.0,,0.18,,0.21,,0.17,,0.09,,0.03,
0.21,,"[559, 159, 329, 405]",,0.0,,0.14,,0.33,,0.19,,0.1,,0.03,
0.2,,"[557, 154, 337, 412]",,0.0,,0.17,,0.34,,0.15,,0.07,,0.08,
0.17,,"[561, 157, 332, 409]",,0.0,,0.19,,0.34,,0.14,,0.07,,0.09,
0.21,,"[564, 165, 322, 401]",,0.0,,0.19,,0.23,,0.19,,0.14,,0.05,
0.14,,"[565, 167, 323, 395]",,0.0,,0.11,,0.17,,0.46,,0.1,,0.02,
0.14,,"[562, 164, 328, 394]",,0.0,,0.08,,0.01,,0.53,,0.21,,0.03,
0.23,,"[564, 159, 328, 396]",,0.0,,0.18,,0.03,,0.35,,0.17,,0.05,
0.14,,"[564, 161, 322, 397]",,0.0,,0.23,,0.08,,0.29,,0.18,,0.07,
0.31,,"[561, 152, 334, 419]",,0.0,,0.18,,0.14,,0.11,,0.11,,0.15,
0.3,,"[559, 148, 337, 431]",,0.0,,0.2,,0.11,,0.11,,0.24,,0.05,
0.14,,"[559, 151, 335, 421]",,0.0,,0.18,,0.06,,0.27,,0.3,,0.04,
0.22,,"[550, 140, 348, 431]",,0.0,,0.2,,0.15,,0.2,,0.2,,0.03,
0.07,,"[552, 142, 347, 432]",,0.0,,0.15,,0.24,,0.3,,0.2,,0.04,
0.16,,"[560, 149, 333, 409]",,0.0,,0.09,,0.03,,0.59,,0.12,,0.01,
0.08,,"[560, 147, 332, 398]",,0.0,,0.07,,0.02,,0.61,,0.22,,0.01,
0.19,,"[558, 148, 331, 404]",,0.0,,0.15,,0.02,,0.37,,0.18,,0.08,
0.22,,"[561, 159, 327, 395]",,0.0,,0.19,,0.04,,0.33,,0.2,,0.03,
0.31,,"[558, 147, 340, 424]",,0.0,,0.21,,0.11,,0.16,,0.15,,0.07,
0.23,,"[562, 160, 322, 400]",,0.0,,0.12,,0.17,,0.16,,0.17,,0.14,
0.16,,"[556, 147, 336, 415]",,0.0,,0.05,,0.04,,0.55,,0.18,,0.03,
0.11,,"[562, 156, 327, 399]",,0.0,,0.04,,0.01,,0.68,,0.15,,0.01,
0.2,,"[561, 163, 329, 394]",,0.0,,0.09,,0.03,,0.48,,0.18,,0.02,
0.2,,"[564, 171, 326, 395]",,0.0,,0.19,,0.15,,0.29,,0.14,,0.03,
0.13,,"[564, 173, 328, 388]",,0.0,,0.05,,0.02,,0.7,,0.09,,0.01,
0.19,,"[559, 169, 334, 396]",,0.0,,0.04,,0.01,,0.65,,0.09,,0.02,
0.19,,"[559, 170, 331, 403]",,0.0,,0.18,,0.05,,0.36,,0.13,,0.09,
0.12,,"[560, 170, 328, 403]",,0.0,,0.15,,0.08,,0.49,,0.11,,0.04,
0.14,,"[559, 172, 329, 399]",,0.0,,0.12,,0.05,,0.52,,0.14,,0.03,
0.1,,"[556, 164, 337, 407]",,0.0,,0.04,,0.01,,0.73,,0.12,,0.01,
0.19,,"[556, 172, 331, 410]",,0.0,,0.11,,0.25,,0.35,,0.08,,0.02,
0.29,,"[557, 171, 331, 415]",,0.0,,0.17,,0.3,,0.07,,0.08,,0.1,
0.16,,"[555, 159, 339, 420]",,0.0,,0.12,,0.3,,0.18,,0.13,,0.11,
0.14,,"[549, 164, 335, 411]",,0.0,,0.11,,0.13,,0.4,,0.18,,0.04,
0.14,,"[548, 153, 344, 419]",,0.0,,0.05,,0.02,,0.45,,0.34,,0.01,
0.14,,"[549, 156, 342, 421]",,0.0,,0.12,,0.26,,0.13,,0.21,,0.15,
0.22,,"[554, 162, 333, 412]",,0.0,,0.11,,0.05,,0.25,,0.28,,0.1,
0.11,,"[555, 170, 336, 400]",,0.0,,0.06,,0.0,,0.43,,0.36,,0.03,
0.04,,"[554, 179, 342, 410]",,0.0,,0.04,,0.03,,0.69,,0.19,,0.02,
0.1,,"[555, 181, 336, 416]",,0.0,,0.07,,0.23,,0.35,,0.16,,0.09,
0.07,,"[558, 182, 331, 408]",,0.0,,0.05,,0.45,,0.22,,0.14,,0.06,
0.09,,"[555, 169, 334, 411]",,0.0,,0.08,,0.28,,0.28,,0.18,,0.09,
0.25,,"[553, 161, 335, 416]",,0.0,,0.08,,0.23,,0.18,,0.13,,0.12,
0.17,,"[555, 173, 327, 401]",,0.0,,0.13,,0.24,,0.14,,0.23,,0.09,
0.1,,"[554, 153, 334, 415]",,0.0,,0.13,,0.23,,0.18,,0.3,,0.05,
0.14,,"[550, 145, 340, 423]",,0.0,,0.15,,0.08,,0.14,,0.37,,0.11,
0.09,,"[554, 150, 335, 416]",,0.0,,0.14,,0.05,,0.23,,0.46,,0.03,
0.09,,"[560, 169, 321, 384]",,0.0,,0.03,,0.01,,0.52,,0.34,,0.01,
0.05,,"[549, 159, 332, 394]",,0.0,,0.09,,0.04,,0.23,,0.54,,0.05,
0.12,,"[548, 143, 337, 408]",,0.0,,0.05,,0.0,,0.37,,0.43,,0.02,
0.09,,"[549, 141, 341, 415]",,0.0,,0.05,,0.03,,0.45,,0.34,,0.03,
0.14,,"[549, 150, 336, 406]",,0.0,,0.07,,0.04,,0.4,,0.33,,0.03,
0.22,,"[551, 168, 333, 403]",,0.0,,0.12,,0.1,,0.09,,0.38,,0.09,
0.14,,"[554, 158, 335, 410]",,0.0,,0.1,,0.14,,0.19,,0.33,,0.09,
0.14,,"[558, 156, 332, 413]",,0.0,,0.11,,0.12,,0.17,,0.36,,0.1,
0.16,,"[564, 158, 324, 399]",,0.0,,0.09,,0.01,,0.32,,0.32,,0.09,
0.13,,"[558, 150, 336, 407]",,0.0,,0.06,,0.01,,0.39,,0.35,,0.06,
0.15,,"[565, 154, 328, 403]",,0.0,,0.13,,0.02,,0.26,,0.35,,0.08,
0.15,,"[560, 152, 328, 396]",,0.0,,0.07,,0.02,,0.51,,0.22,,0.03,
0.25,,"[556, 140, 341, 417]",,0.0,,0.25,,0.09,,0.1,,0.18,,0.12,
0.18,,"[555, 135, 344, 427]",,0.0,,0.27,,0.11,,0.07,,0.21,,0.16,
0.24,,"[555, 142, 341, 417]",,0.0,,0.3,,0.07,,0.1,,0.2,,0.09,
0.21,,"[559, 153, 329, 402]",,0.0,,0.17,,0.12,,0.2,,0.23,,0.06,
0.13,,"[565, 151, 323, 404]",,0.0,,0.18,,0.08,,0.21,,0.29,,0.11,
0.11,,"[564, 153, 322, 395]",,0.0,,0.15,,0.02,,0.33,,0.34,,0.05,
0.12,,"[560, 151, 325, 399]",,0.0,,0.19,,0.06,,0.18,,0.33,,0.11,
0.2,,"[556, 151, 329, 397]",,0.0,,0.16,,0.02,,0.23,,0.33,,0.06,
0.16,,"[552, 145, 334, 409]",,0.0,,0.17,,0.06,,0.32,,0.22,,0.07,
0.12,,"[546, 149, 338, 411]",,0.0,,0.17,,0.17,,0.2,,0.27,,0.08,
0.26,,"[542, 145, 346, 419]",,0.0,,0.15,,0.21,,0.14,,0.18,,0.07,
0.14,,"[539, 144, 350, 424]",,0.0,,0.2,,0.31,,0.11,,0.12,,0.13,
0.1,,"[538, 149, 337, 406]",,0.0,,0.2,,0.27,,0.18,,0.21,,0.05,
0.31,,"[546, 162, 323, 386]",,0.01,,0.12,,0.17,,0.1,,0.27,,0.01,
